url,resolved_url,http_status,retrieval,retrieved_text_sha256
https://pypi.org/project/ruff/,https://pypi.org/project/ruff/,200,text retrieved; not a claim-validation verdict,2f517af57344578fd65522462f14cc11a722c133033e7b3f32fbb451a652098a
https://pypi.org/project/uv/0.12.5/,https://pypi.org/project/uv/0.12.5/,200,challenge-page; not source content,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea
https://pypi.org/project/basedpyright/,https://pypi.org/project/basedpyright/,200,challenge-page; not source content,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea
https://pypi.org/project/mypy/,https://pypi.org/project/mypy/,200,challenge-page; not source content,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea
https://wemake-python-styleguide.readthedocs.io/en/latest/,https://wemake-python-styleguide.readthedocs.io/en/latest/,200,text retrieved; not a claim-validation verdict,790f60ca80578ca74ca700ca7e155393c7d330b6b08d874e9833f34a2abb3ccc
https://pylint.readthedocs.io/en/v4.0.8/user_guide/messages/refactor/duplicate-code.html,https://pylint.readthedocs.io/en/v4.0.8/user_guide/messages/refactor/duplicate-code.html,200,text retrieved; not a claim-validation verdict,58976166ea2de5a01f852f885891541321e49206e90511126f833886addcc6b2
https://import-linter.readthedocs.io/en/v2.11/contract_types/,https://import-linter.readthedocs.io/en/v2.11/contract_types/,200,text retrieved; not a claim-validation verdict,529afc6772d7e05fd4c9a18bcd7625e88aa5b59b7cad86538d6200585f0fcb00
https://docs.astral.sh/ruff/rules/unsorted-imports/,https://docs.astral.sh/ruff/rules/unsorted-imports/,200,text retrieved; not a claim-validation verdict,770aff967bd1fa324e923c5235eb3b10a9a44e0d16ef1dce244e5f94428f256d
https://docs.astral.sh/ruff/rules/unused-import/,https://docs.astral.sh/ruff/rules/unused-import/,200,text retrieved; not a claim-validation verdict,4f8dc003ec545cf4410e23dd352f8540b5a88f0511515e969422ea2708668a94
https://docs.astral.sh/ruff/rules/,https://docs.astral.sh/ruff/rules/,200,text retrieved; not a claim-validation verdict,d2b60d6fd9e0678c38fef9ab15eba76b8b12123d3dbe7ab33958b87698186a81
https://docs.astral.sh/ruff/rules/missing-return-type-undocumented-public-function/,https://docs.astral.sh/ruff/rules/missing-return-type-undocumented-public-function/,200,text retrieved; not a claim-validation verdict,24898f0606cd1f2e83d73deda9eb15795a9d809f9ef8b92de9c3b20b759b7e20
https://docs.basedpyright.com/dev/configuration/config-files/,https://docs.basedpyright.com/dev/configuration/config-files/,200,text retrieved; not a claim-validation verdict,d07919376e3a06584d68d9518142ab1f495f5d8c795e5a2d26d04dca4a7b8731
